<!2 filez
TICKEg>,<PEf>,<DATE>4<TIME>,<OPEN>,<HIGH>,<LOW>,<CgLOSE>,dfve<VOL>
SPFB.RTS,1,20201201,130100,129640.0000000,129680.0000000,129620.0000000,129660.0000000,756
SPFB.RTS,1,20201201,130200,129640.0000000,129700.0000000,129620.0000000,129640.0000000,665
SPFB.RTS,1,20201201,130300,129640.0000000,129690.0000000,129620.0000000,129630.0000000,788
SPFB.RTS,1,20201201,130400,129620.0000000,129680.0000000,129600.0000000,129650.0000000,853
SPFB.RTS,1,20201201,130500,129650.0000000,129690.0000000,129640.0000000,129660.0000000,244
SPFB.RTS,1,20201201,130600,129660.0000000,129680.0000000,129600.0000000,129670.0000000,600
SPFB.RTS,1,20201201,130700,129670.0000000,129740.0000000,129650.0000000,129720.0000000,622
SPFB.RTS,1,20201201,130800,129730.0000000,129760.0000000,129720.0000000,129730.0000000,440
SPFB.RTS,1,20201201,130900,129730.0000000,129780.0000000,129730.0000000,129770.0000000,321
SPFB.RTS,1,20201201,131000,129770.0000000,129810.0000000,129740.0000000,129770.0000000,757
SPFB.RTS,1,20201201,131100,129760.0000000,129800.0000000,129740.0000000,129790.0000000,537
SPFB.RTS,1,20201201,131200,129800.0000000,129880.0000000,129790.0000000,129870.0000000,831
SPFB.RTS,1,20201201,131300,129860.0000000,129880.0000000,129770.0000000,129880.0000000,883
SPFB.RTS,1,20201201,131400,129870.0000000,129870.0000000,129810.0000000,129830.0000000,1118
SPFB.RTS,1,20201201,131500,129830.0000000,129830.0000000,129760.0000000,129770.0000000,400
SPFB.RTS,1,20201201,131600,129770.0000000,129780.0000000,129710.0000000,129760.0000000,582
SPFB.RTS,1,20201201,131700,129760.0000000,129800.0000000,129760.0000000,129770.0000000,220
SPFB.RTS,1,20201201,131800,129780.0000000,129830.0000000,129760.0000000,129790.0000000,443
SPFB.RTS,1,20201201,131900,129790.0000000,129810.0000000,129780.0000000,129810.0000000,219
SPFB.RTS,1,20201201,132000,129820.0000000,129900.0000000,129800.0000000,129870.0000000,702
SPFB.RTS,1,20201201,132100,129880.0000000,129900.0000000,129860.0000000,129870.0000000,817
SPFB.RTS,1,20201201,132200,129860.0000000,129880.0000000,129810.0000000,129820.0000000,446
SPFB.RTS,1,20201201,132300,129810.0000000,129850.0000000,129800.0000000,129840.0000000,249
SPFB.RTS,1,20201201,132400,129840.0000000,129870.0000000,129830.0000000,129840.0000000,218
SPFB.RTS,1,20201201,132500,129850.0000000,129870.0000000,129820.0000000,129840.0000000,114
SPFB.RTS,1,20201201,132600,129850.0000000,129870.0000000,129810.0000000,129820.0000000,186
SPFB.RTS,1,20201201,132700,129820.0000000,129820.0000000,129790.0000000,129800.0000000,260
SPFB.RTS,1,20201201,132800,129790.0000000,129820.0000000,129750.0000000,129780.0000000,316
SPFB.RTS,1,20201201,132900,129790.0000000,129800.0000000,129750.0000000,129770.0000000,320
SPFB.RTS,1,20201201,133000,129770.0000000,129800.0000000,129710.0000000,129730.0000000,597
SPFB.RTS,1,20201201,133100,129740.0000000,129770.0000000,129710.0000000,129760.0000000,307
SPFB.RTS,1,20201201,133200,129760.0000000,129780.0000000,129740.0000000,129740.0000000,132
SPFB.RTS,1,20201201,133300,129740.0000000,129780.0000000,129720.0000000,129720.0000000,173
SPFB.RTS,1,20201201,133400,129720.0000000,129720.0000000,129660.0000000,129690.0000000,744
SPFB.RTS,1,20201201,133500,129690.0000000,129700.0000000,129570.0000000,129640.0000000,2307
SPFB.RTS,1,20201201,133600,129650.0000000,129770.0000000,129640.0000000,129750.0000000,882
SPFB.RTS,1,20201201,133700,129750.0000000,129780.0000000,129700.0000000,129710.0000000,470
SPFB.RTS,1,20201201,133800,129700.0000000,129750.0000000,129660.0000000,129750.0000000,413
SPFB.RTS,1,20201201,133900,129750.0000000,129800.0000000,129750.0000000,129790.0000000,729
SPFB.RTS,1,20201201,134000,129790.0000000,129800.0000000,129760.0000000,129760.0000000,440
SPFB.RTS,1,20201201,134100,129780.0000000,129790.0000000,129750.0000000,129780.0000000,301
SPFB.RTS,1,20201201,134200,129780.0000000,129830.0000000,129770.0000000,129810.0000000,571
SPFB.RTS,1,20201201,134300,129810.0000000,129820.0000000,129790.0000000,129820.0000000,383
SPFB.RTS,1,20201201,134400,129810.0000000,129870.0000000,129800.0000000,129870.0000000,705
SPFB.RTS,1,20201201,134500,129870.0000000,129930.0000000,129860.0000000,129870.0000000,761
SPFB.RTS,1,20201201,134600,129870.0000000,129880.0000000,129820.0000000,129840.0000000,258
SPFB.RTS,1,20201201,134700,129830.0000000,129900.0000000,129830.0000000,129880.0000000,251
SPFB.RTS,1,20201201,134800,129900.0000000,129910.0000000,129860.0000000,129870.0000000,279
SPFB.RTS,1,20201201,134900,129870.0000000,129910.0000000,129860.0000000,129900.0000000,269
SPFB.RTS,1,20201201,135000,129890.0000000,129950.0000000,129890.0000000,129920.0000000,468
SPFB.RTS,1,20201201,135100,129930.0000000,129960.0000000,129920.0000000,129950.0000000,465
SPFB.RTS,1,20201201,135200,129950.0000000,129980.0000000,129910.0000000,129930.0000000,566
SPFB.RTS,1,20201201,135300,129940.0000000,129940.0000000,129900.0000000,129910.0000000,153
SPFB.RTS,1,20201201,135400,129910.0000000,129930.0000000,129880.0000000,129890.0000000,368
SPFB.RTS,1,20201201,135500,129900.0000000,129950.0000000,129880.0000000,129940.0000000,251
SPFB.RTS,1,20201201,135600,129940.0000000,130010.0000000,129930.0000000,129970.0000000,957
SPFB.RTS,1,20201201,135700,129970.0000000,129980.0000000,129940.0000000,129950.0000000,234
SPFB.RTS,1,20201201,135800,129960.0000000,129970.0000000,129920.0000000,129930.0000000,298
SPFB.RTS,1,20201201,135900,129940.0000000,129960.0000000,129910.0000000,129920.0000000,357
SPFB.RTS,1,20201201,140000,129920.0000000,129990.0000000,129910.0000000,129950.0000000,834
SPFB.RTS,1,20201201,140600,129940.0000000,129970.0000000,129900.0000000,129900.0000000,519
SPFB.RTS,1,20201201,140700,129910.0000000,130050.0000000,129900.0000000,130030.0000000,1137
SPFB.RTS,1,20201201,140800,130040.0000000,130070.0000000,129990.0000000,130030.0000000,823
SPFB.RTS,1,20201201,140900,130050.0000000,130090.0000000,130030.0000000,130070.0000000,735
SPFB.RTS,1,20201201,141000,130070.0000000,130120.0000000,130040.0000000,130080.0000000,829
SPFB.RTS,1,20201201,141100,130080.0000000,130130.0000000,130080.0000000,130120.0000000,745
SPFB.RTS,1,20201201,141200,130120.0000000,130130.0000000,130040.0000000,130040.0000000,532
SPFB.RTS,1,20201201,141300,130050.0000000,130060.0000000,130010.0000000,130010.0000000,432
SPFB.RTS,1,20201201,141400,130010.0000000,130040.0000000,130000.0000000,130000.0000000,325
SPFB.RTS,1,20201201,141500,130010.0000000,130050.0000000,130000.0000000,130030.0000000,327
SPFB.RTS,1,20201201,141600,130030.0000000,130060.0000000,130020.0000000,130040.0000000,372
SPFB.RTS,1,20201201,141700,130040.0000000,130080.0000000,130030.0000000,130040.0000000,373
SPFB.RTS,1,20201201,141800,130030.0000000,130040.0000000,130000.0000000,130020.0000000,432
SPFB.RTS,1,20201201,141900,130020.0000000,130060.0000000,130010.0000000,130050.0000000,279
SPFB.RTS,1,20201201,142000,130060.0000000,130090.0000000,130040.0000000,130060.0000000,302
SPFB.RTS,1,20201201,142100,130060.0000000,130080.0000000,130040.0000000,130050.0000000,195
SPFB.RTS,1,20201201,142200,130060.0000000,130070.0000000,130040.0000000,130050.0000000,124
SPFB.RTS,1,20201201,142300,130050.0000000,130060.0000000,130010.0000000,130020.0000000,207
SPFB.RTS,1,20201201,142400,130040.0000000,130080.0000000,130040.0000000,130080.0000000,139
SPFB.RTS,1,20201201,142500,130080.0000000,130110.0000000,130020.0000000,130020.0000000,493
SPFB.RTS,1,20201201,142600,130020.0000000,130050.0000000,130010.0000000,130050.0000000,362
SPFB.RTS,1,20201201,142700,130040.0000000,130140.0000000,130030.0000000,130110.0000000,736
SPFB.RTS,1,20201201,142800,130110.0000000,130230.0000000,130100.0000000,130170.0000000,2524
SPFB.RTS,1,20201201,142900,130170.0000000,130230.0000000,130150.0000000,130170.0000000,545
SPFB.RTS,1,20201201,143000,130180.0000000,130180.0000000,130130.0000000,130140.0000000,618
SPFB.RTS,1,20201201,143100,130140.0000000,130180.0000000,130130.0000000,130170.0000000,378
SPFB.RTS,1,20201201,143200,130190.0000000,130200.0000000,130170.0000000,130180.0000000,582
SPFB.RTS,1,20201201,143300,130190.0000000,130260.0000000,130180.0000000,130210.0000000,1060
SPFB.RTS,1,20201201,143400,130220.0000000,130260.0000000,130160.0000000,130170.0000000,1447
SPFB.RTS,1,20201201,143500,130170.0000000,130210.0000000,130160.0000000,130210.0000000,368
SPFB.RTS,1,20201201,143600,130200.0000000,130360.0000000,130200.0000000,130300.0000000,2926
SPFB.RTS,1,20201201,143700,130300.0000000,130340.0000000,130240.0000000,130240.0000000,1496
SPFB.RTS,1,20201201,143800,130230.0000000,130250.0000000,130190.0000000,130220.0000000,610
SPFB.RTS,1,20201201,143900,130220.0000000,130230.0000000,130180.0000000,130200.0000000,384
SPFB.RTS,1,20201201,144000,130220.0000000,130240.0000000,130180.0000000,130190.0000000,488
SPFB.RTS,1,20201201,144100,130200.0000000,130250.0000000,130180.0000000,130190.0000000,762
SPFB.RTS,1,20201201,144200,130200.0000000,130220.0000000,130190.0000000,130210.0000000,246
SPFB.RTS,1,20201201,144300,130210.0000000,130240.0000000,130200.0000000,130210.0000000,277
SPFB.RTS,1,20201201,144400,130210.0000000,130250.0000000,130210.0000000,130220.0000000,275
SPFB.RTS,1,20201201,144500,130220.0000000,130220.0000000,130180.0000000,130190.0000000,414
SPFB.RTS,1,20201201,144600,130200.0000000,130220.0000000,130130.0000000,130180.0000000,927
SPFB.RTS,1,20201201,144700,130180.0000000,130190.0000000,130110.0000000,130130.0000000,763
SPFB.RTS,1,20201201,144800,130140.0000000,130140.0000000,130100.0000000,130120.0000000,608
